moderator,moderator.level,min.ess,worst.psrf,n.samples.per.chain
Class_ConsentRate,class,13475,1.0028139754418333,3000
Class_Discipline,class,13021,1.0022418183500938,3000
Class_Format,class,13887,1.0023019581134374,3000
Class_Level,class,14460,1.0027790803938368,3000
Class_NumberOfExams,class,14220,1.0019293183691855,3000
Class_NumberOfTreatmentQuizzes,class,13218,1.0030941305311114,3000
Class_ProportionLecture,class,13586,1.001807966434002,3000
Class_QuizzesCombinedInOutcomeScores,class,11850,1.0028498502399443,3000
Class_Size,class,12595,1.0037973436906258,3000
Exam_AverageDaysBetweenQuizDueDateandExam,class,14699,1.0026259867326883,3000
Exam_Difficulty_AveragePercentCorrect,class,13325,1.0033488875459249,3000
Exam_MappingToQuizzes_ExamSameVSNot,class,13088,1.0044539882722947,3000
Exam_NumberOfQuestionsMappedToQuizzes,class,13651,1.0024188496730742,3000
Exam_ProportionOfRetrievalBasedExamItems,class,12527,1.0041065972615904,3000
Exam_Type_InClassVSTakeHome,class,13183,1.0025626920107789,3000
Exam_Value_ProportionOfClassPoints,class,13366,1.0021397786313428,3000
Institution_AdmissionRate,class,13130,1.0027885861480172,3000
Institution_AverageAnnualCostofAttendance,class,12840,1.0030127825498207,3000
Institution_GraduationRate,class,12865,1.0029236170981535,3000
Institution_PercentofFullTimeStudents,class,12568,1.0019494383953256,3000
Institution_PercentPartTimeFaculty,class,13229,1.0023340092875475,3000
Institution_PercentReceivingFederalStudentLoans,class,12854,1.0041993501644368,3000
Institution_PercentStudentsReceivingIncomeBasedPellGrants,class,13905,1.0034946137392349,3000
Institution_PercentStudentsReturningAfterFirstYear,class,12686,1.002609958820695,3000
Institution_PercentWhite,class,14507,1.0021452014322072,3000
Quiz_CumulativeNumberofQuizQuestions,class,13126,1.0035605755593502,3000
Quiz_Difficulty_AveragePercentCorrect,class,21361,1.0011476261021586,9000
Quiz_FollowUpValue_ProportionOfClassPoints,class,19901,1.0026661428057886,3000
Quiz_NumberOfDayDelay_BetweenDueDateandDelayedFeedback,class,13823,1.002269857935224,3000
Quiz_ProportionOfRetrievalBasedQuizItems,class,14676,1.0021072023462931,9000
Quiz_QuestionPresentation_OneAtaTimeVSAllatOnce,class,12867,1.00399768268986,3000
Quiz_TimeConstraint,class,12835,1.0035384092241268,3000
Quiz_TypeOfFeedbackContent,class,14895,1.0024585442212486,3000
Quiz_Value_ProportionOfClassPoints,class,13501,1.0024681160820976,3000
student_accessedAllDelayedFeedback,student,11370,1.003664011777802,3000
student_accessedAllImmediateFeedback,student,22044,1.001165340815008,9000
student_accessedAllTreatmentQuizzes,student,38550,1.000528054541753,81000
student_avgTimeSpentOnTreatmentQuizzes,student,13447,1.0030507599953833,3000
student_avgTimeSpentViewingFeedback,student,17116,1.0018470407338103,3000
student_cumulativeGrade,student,23582,1.0014712585617367,9000
student_daysFeedbackAfterSubmission,student,21292,1.0018426831936413,3000
student_daysSubmittedBeforeDueDate,student,14520,1.0033727287593557,3000
student_nbrOfQuizzesWithFeedbackView,student,13810,1.0028560310092711,3000
student_timeSpentOnTreatmentQuizzes,student,10000,1.0035151434733245,3000
student_timeSpentViewingFeedback,student,18537,1.0021473119687725,3000
